Date,Description,Deposits,Withdrawls,Balance
20-Aug-2020,NEFT,"23,237.00",00.00,"37,243.31"
20-Aug-2020,NEFT,00.00,"3,724.33","33,518.98"
20-Aug-2020,Commission,245.00,00.00,"33,763.98"
20-Aug-2020,NEFT,"12,480.00",00.00,"46,243.98"
20-Aug-2020,RTGS,00.00,"11,561.00","34,682.98"
20-Aug-2020,Miscellaneous,"88,736.00",00.00,"123,418.98"
20-Aug-2020,Cheque,00.00,"15,427.37","107,991.61"
20-Aug-2020,Miscellaneous,253.50,00.00,"108,245.11"
20-Aug-2020,Purchase,00.00,"108,245.11",00.00
20-Aug-2020,Cash,327.21,00.00,327.21
20-Aug-2020,RTGS,00.88,00.00,328.09
20-Aug-2020,Commission,00.00,82.02,246.07
20-Aug-2020,Miscellaneous,04.00,00.00,250.07
20-Aug-2020,IMPS,00.00,00.00,250.07
20-Aug-2020,IMPS,02.91,00.00,252.98
20-Aug-2020,IMPS,01.60,00.00,254.58
20-Aug-2020,Cash,41.86,00.00,296.44
20-Aug-2020,NEFT,54.00,00.00,350.44
20-Aug-2020,Transfer,"13,651.96",00.00,"14,002.40"
20-Aug-2020,Purchase,395.00,00.00,"14,397.40"
20-Aug-2020,NEFT,00.00,"2,879.48","11,517.92"
20-Aug-2020,ATM,"396,328.00",00.00,"407,845.92"
20-Aug-2020,Cheque,00.00,"50,980.74","356,865.18"
20-Aug-2020,Commission,"1,036,130.00",00.00,"1,392,995.18"
20-Aug-2020,Interest,"600,253.80",00.00,"1,993,248.98"
20-Aug-2020,Cheque,00.00,"498,312.25","1,494,936.74"
20-Aug-2020,Miscellaneous,"29,830.60",00.00,"1,524,767.34"
20-Aug-2020,Cheque,00.00,"169,418.59","1,355,348.75"
20-Aug-2020,Reversal,"1,199,665.00",00.00,"2,555,013.75"
20-Aug-2020,IMPS,815.00,00.00,"2,555,828.75"
21-Aug-2020,RTGS,00.00,"2,555,828.75",00.00
21-Aug-2020,Bill,"156,267.00",00.00,"156,267.00"
21-Aug-2020,Purchase,"27,137.10",00.00,"183,404.10"
21-Aug-2020,Cash,00.00,"183,404.10",00.00
21-Aug-2020,ATM,"92,441.16",00.00,"92,441.16"
21-Aug-2020,IMPS,00.00,"11,555.15","80,886.02"
21-Aug-2020,Cash,00.00,"20,221.51","60,664.52"
21-Aug-2020,Transfer,41.98,00.00,"60,706.50"
21-Aug-2020,Cheque,"1,330,252.20",00.00,"1,390,958.70"
21-Aug-2020,NEFT,"900,558.00",00.00,"2,291,516.70"
21-Aug-2020,Cheque,"218,953.00",00.00,"2,510,469.70"
21-Aug-2020,Transfer,"50,454.00",00.00,"2,560,923.70"
21-Aug-2020,Commission,48.30,00.00,"2,560,972.00"
21-Aug-2020,NEFT,00.00,00.00,"2,560,972.00"
21-Aug-2020,Interest,00.00,"365,853.14","2,195,118.86"
21-Aug-2020,Bill,"871,338.00",00.00,"3,066,456.86"
21-Aug-2020,RTGS,"339,762.25",00.00,"3,406,219.11"
21-Aug-2020,Cash,82.92,00.00,"3,406,302.03"
21-Aug-2020,Commission,00.00,"425,787.75","2,980,514.28"
21-Aug-2020,Transfer,00.00,"745,128.57","2,235,385.71"
21-Aug-2020,Cheque,03.00,00.00,"2,235,388.71"
21-Aug-2020,Cash,"17,214.70",00.00,"2,252,603.41"
21-Aug-2020,Transfer,"2,606.01",00.00,"2,255,209.42"
21-Aug-2020,Reversal,00.00,"375,868.24","1,879,341.18"
21-Aug-2020,Interest,00.00,"313,223.53","1,566,117.65"
21-Aug-2020,Debit Card,"6,936.91",00.00,"1,573,054.56"
21-Aug-2020,RTGS,00.00,"524,351.52","1,048,703.04"
21-Aug-2020,Tax,"30,539.44",00.00,"1,079,242.48"
21-Aug-2020,Purchase,00.00,"134,905.31","944,337.17"
21-Aug-2020,ATM,00.00,"314,779.06","629,558.11"
21-Aug-2020,Tax,32.40,00.00,"629,590.51"
21-Aug-2020,Purchase,33.00,00.00,"629,623.51"
21-Aug-2020,Miscellaneous,419.28,00.00,"630,042.79"
21-Aug-2020,Purchase,"8,080.75",00.00,"638,123.54"
21-Aug-2020,Debit Card,"1,595.70",00.00,"639,719.24"
21-Aug-2020,RTGS,00.00,"106,619.87","533,099.37"
21-Aug-2020,Cheque,00.00,"88,849.90","444,249.48"
21-Aug-2020,Bill,"150,643.38",00.00,"594,892.86"
21-Aug-2020,ATM,00.00,"66,099.21","528,793.65"
21-Aug-2020,Miscellaneous,00.00,"58,754.85","470,038.80"
21-Aug-2020,Bill,00.00,"94,007.76","376,031.04"
21-Aug-2020,ATM,00.00,"188,015.52","188,015.52"
21-Aug-2020,Cheque,127.70,00.00,"188,143.22"
21-Aug-2020,IMPS,59.55,00.00,"188,202.77"
21-Aug-2020,Commission,"31,208.11",00.00,"219,410.88"
21-Aug-2020,Interest,00.00,"21,941.09","197,469.79"
21-Aug-2020,Tax,00.00,"32,911.63","164,558.16"
21-Aug-2020,RTGS,"710,146.50",00.00,"874,704.66"
21-Aug-2020,Cash,433.90,00.00,"875,138.56"
21-Aug-2020,Reversal,00.00,"437,569.28","437,569.28"
21-Aug-2020,Commission,20.50,00.00,"437,589.78"
21-Aug-2020,Debit Card,335.00,00.00,"437,924.78"
21-Aug-2020,Miscellaneous,00.00,"437,924.78",00.00
21-Aug-2020,Reversal,101.10,00.00,101.10
21-Aug-2020,Cheque,"183,171.00",00.00,"183,272.10"
21-Aug-2020,Interest,00.00,"91,636.05","91,636.05"
21-Aug-2020,IMPS,00.00,"13,090.86","78,545.19"
21-Aug-2020,Cash,"2,834.50",00.00,"81,379.69"
21-Aug-2020,Transfer,00.00,"20,344.92","61,034.77"
21-Aug-2020,IMPS,"125,302.40",00.00,"186,337.17"
21-Aug-2020,Debit Card,252.05,00.00,"186,589.22"
21-Aug-2020,Tax,00.00,"46,647.31","139,941.92"
21-Aug-2020,Reversal,00.00,"23,323.65","116,618.27"
21-Aug-2020,Tax,00.00,"14,577.28","102,040.99"
21-Aug-2020,Purchase,00.00,"51,020.50","51,020.50"
21-Aug-2020,Debit Card,02.78,00.00,"51,023.28"
21-Aug-2020,Commission,"300,660.00",00.00,"351,683.28"
21-Aug-2020,IMPS,00.00,"87,920.82","263,762.46"
21-Aug-2020,ATM,00.00,"26,376.25","237,386.21"
21-Aug-2020,Transfer,"193,326.38",00.00,"430,712.59"
